environment,agent,score,reasoning,memory,reflection
DeliveryBench,GPT-5,21.54,None,Base,None
DeliveryBench,Gemini-3-Flash,13.73,None,Base,None
DeliveryBench,Qwen3.5-397B,13.83,None,Base,None
DeliveryBench,Qwen3.5-9B,7.13,None,Base,None
DeliveryBench,GPT-5 mini,7.18,None,Base,None
DeliveryBench,GPT-5,30.39,ReAct,Base,None
DeliveryBench,Gemini-3-Flash,31.53,ReAct,Base,None
DeliveryBench,Qwen3.5-397B,26.97,ReAct,Base,None
DeliveryBench,Qwen3.5-9B,12.64,ReAct,Base,None
DeliveryBench,GPT-5 mini,8.54,ReAct,Base,None
DeliveryBench,GPT-5,40.92,ReAct,ChatDB,None
DeliveryBench,Gemini-3-Flash,10.96,ReAct,ChatDB,None
DeliveryBench,Qwen3.5-397B,17.63,ReAct,ChatDB,None
DeliveryBench,Qwen3.5-9B,19.84,ReAct,ChatDB,None
DeliveryBench,GPT-5 mini,9.35,ReAct,ChatDB,None
DeliveryBench,GPT-5,53.17,ReAct,DynamicCheatsheet,None
DeliveryBench,Gemini-3-Flash,28.62,ReAct,DynamicCheatsheet,None
DeliveryBench,Qwen3.5-397B,36.83,ReAct,DynamicCheatsheet,None
DeliveryBench,Qwen3.5-9B,14.95,ReAct,DynamicCheatsheet,None
DeliveryBench,GPT-5 mini,16.46,ReAct,DynamicCheatsheet,None
DeliveryBench,GPT-5,33.98,ReAct,SimpleMem,None
DeliveryBench,Gemini-3-Flash,30.38,ReAct,SimpleMem,None
DeliveryBench,Qwen3.5-397B,20.25,ReAct,SimpleMem,None
DeliveryBench,Qwen3.5-9B,9.59,ReAct,SimpleMem,None
DeliveryBench,GPT-5 mini,15.16,ReAct,SimpleMem,None
DeliveryBench,GPT-5,44.47,ReAct,MemoryBank,None
DeliveryBench,Gemini-3-Flash,22.75,ReAct,MemoryBank,None
DeliveryBench,Qwen3.5-397B,26.69,ReAct,MemoryBank,None
DeliveryBench,Qwen3.5-9B,7.49,ReAct,MemoryBank,None
DeliveryBench,GPT-5 mini,30.67,ReAct,MemoryBank,None
DeliveryBench,GPT-5,46.79,ReAct,OpenClaw,None
